event,id,symbol,direction,status,openedAt,closedAt,entryPrice,exitPrice,entryRef,entryMexcBid,entryMexcAsk,entryMexcBookSpreadPct,exitRef,exitMexcBid,exitMexcAsk,exitMexcBookSpreadPct,qtyUsd,qtyToken,depositAtEntry,allocationPct,depositAfterClose,dexAnchorAtEntry,dexAnchorAtExit,dexSnapshotAtEntry,dexSnapshotAtExit,entrySpreadPct,exitSpreadPct,grossPnlPct,netPnlPct,grossPnlUsd,netPnlUsd,holdMs,openReason,closeReason
OPEN,9f8bbef7-0238-42d1-9dbd-13299bfca0db,CATE_USDT,LONG,OPEN,2026-08-21T17:03:25.740Z,,0.0458,,ASK,0.04564,0.0458,0.35,,,,,30,655.02183406,100,0.3,,0.04681,,1787331803922,,2.205,,,,,,,MEXC below DEX anchor,
CLOSE,9f8bbef7-0238-42d1-9dbd-13299bfca0db,CATE_USDT,LONG,CLOSED,2026-08-21T17:03:25.740Z,2026-08-21T17:04:33.461Z,0.0458,0.046009,ASK,0.04564,0.0458,0.35,BID,0.046009,0.046225,0.4683739185116137,30,655.02183406,100,0.3,100.1009,0.04681,0.04532,1787331803922,1787331871956,2.205,-1.9578,0.4563,0.3363,0.1369,0.1009,67721,MEXC below DEX anchor,mean_reverted_profit
OPEN,e17f4ed5-85a9-4c04-9847-58c8574b2557,CATE_USDT,SHORT,OPEN,2026-08-21T17:05:27.613Z,,0.046,,BID,0.046,0.046007,0.015,,,,,30.03,652.83195652,100.1009,0.3,,0.04515,,1787331925976,,1.848,,,,,,,MEXC above DEX anchor,
CLOSE,e17f4ed5-85a9-4c04-9847-58c8574b2557,CATE_USDT,SHORT,CLOSED,2026-08-21T17:05:27.613Z,2026-08-21T17:05:59.976Z,0.046,0.04577,BID,0.046,0.046007,0.015,ASK,0.045704,0.04577,0.14430329929815383,30.03,652.83195652,100.1009,0.3,100.215,0.04515,0.04576,1787331925976,1787331957985,1.848,-0.1225,0.5,0.38,0.1502,0.1141,32363,MEXC above DEX anchor,mean_reverted_profit
OPEN,0973a666-b7e9-40d8-846d-ada4341410e7,CATE_USDT,SHORT,OPEN,2026-08-21T17:08:40.256Z,,0.046055,,BID,0.046055,0.046141,0.187,,,,,30.06,652.79557051,100.215,0.3,,0.04509,,1787332120049,,2.095,,,,,,,MEXC above DEX anchor,
CLOSE,0973a666-b7e9-40d8-846d-ada4341410e7,CATE_USDT,SHORT,CLOSED,2026-08-21T17:08:40.256Z,2026-08-21T17:09:10.431Z,0.046055,0.045933,BID,0.046055,0.046141,0.187,ASK,0.045831,0.046007,0.38328360809251627,30.06,652.79557051,100.215,0.3,100.2586,0.04509,0.04509,1787332120049,1787332150063,2.095,1.6168,0.2651,0.1451,0.0797,0.0436,30175,MEXC above DEX anchor,trailing_stop
OPEN,44a9aa79-6604-480d-88f6-69bafb325a4b,CATE_USDT,SHORT,OPEN,2026-08-21T17:10:51.236Z,,0.045303,,BID,0.045303,0.045394,0.201,,,,,30.08,663.92027018,100.2586,0.3,,0.04461,,1787332250330,,1.53,,,,,,,MEXC above DEX anchor,
CLOSE,44a9aa79-6604-480d-88f6-69bafb325a4b,CATE_USDT,SHORT,CLOSED,2026-08-21T17:10:51.236Z,2026-08-21T17:11:29.401Z,0.045303,0.0452,BID,0.045303,0.045394,0.201,ASK,0.045111,0.0452,0.19709669918392841,30.08,663.92027018,100.2586,0.3,100.2909,0.04461,0.04506,1787332250330,1787332288110,1.53,0.1131,0.2274,0.1074,0.0684,0.0323,38165,MEXC above DEX anchor,mean_reverted_profit
OPEN,90503fed-c3e0-4b6d-97b9-7fc49b2dafd4,ANSEM_USDT,SHORT,OPEN,2026-08-21T17:12:48.118Z,,0.286,,BID,0.286,0.2868,0.279,,,,,30.09,105.20024476,100.2909,0.3,,0.2824,,1787332366143,,1.259,,,,,,,MEXC above DEX anchor,
CLOSE,90503fed-c3e0-4b6d-97b9-7fc49b2dafd4,ANSEM_USDT,SHORT,CLOSED,2026-08-21T17:12:48.118Z,2026-08-21T17:27:33.806Z,0.286,0.2824,BID,0.286,0.2868,0.279,ASK,0.2814,0.2824,0.3547357218871944,30.09,105.20024476,100.2909,0.3,100.6335,0.2824,0.281,1787332366143,1787333252553,1.259,0.1421,1.2587,1.1387,0.3788,0.3426,885688,MEXC above DEX anchor,mean_reverted_profit
